Product Name,Product Category,Unit Price
Wireless Mouse,Electronics,15.99
Bluetooth Speaker,Electronics,29.99
Gaming Keyboard,Electronics,49.99
LED Monitor 24",Electronics,129.99
Smartphone Stand,Accessories,9.99
USB-C Charger,Electronics,19.99
Noise Cancelling Headphones,Electronics,89.99
Portable Hard Drive 1TB,Electronics,59.99
Ergonomic Chair,Furniture,199.99
Standing Desk,Furniture,349.99
Water Bottle 1L,Household,12.49
Ceramic Coffee Mug,Household,7.99
Dishwasher Tablets 50pcs,Household,14.99
Yoga Mat,Fitness,24.99
Dumbbell Set 20kg,Fitness,79.99
Resistance Bands,Fitness,16.99
Treadmill,Fitness,499.99
Running Shoes,Fitness,69.99
LED Desk Lamp,Home Office,22.99
Wall Clock,Home Decor,18.99
Cotton Bed Sheet Set,Home Decor,39.99
Essential Oil Diffuser,Home Decor,25.99
Tabletop Photo Frame,Home Decor,12.99
Men's Wallet,Fashion,19.99
Women's Handbag,Fashion,49.99
Sunglasses UV400,Fashion,15.99
Leather Belt,Fashion,14.49
Analog Wrist Watch,Fashion,34.99
Cotton T-Shirt,Fashion,9.99
Jeans Slim Fit,Fashion,29.99
Cookware Set 5pcs,Kitchen,79.99
Stainless Steel Knife Set,Kitchen,24.99
Glass Food Storage Set,Kitchen,19.99
Non-stick Frying Pan,Kitchen,21.99
Blender 600W,Kitchen,39.99
Rice Cooker 1.5L,Kitchen,34.99
Kids Backpack,School Supplies,17.99
Notebook Pack of 5,School Supplies,8.99
Ballpoint Pens 20pcs,School Supplies,5.49
Color Pencils 36pcs,School Supplies,9.99
Desk Organizer,School Supplies,11.99
Office File Cabinet,Office Furniture,139.99
Printer Paper 500 Sheets,Office Supplies,6.99
Laser Printer,Office Supplies,129.99
Projector 1080p,Office Electronics,199.99
Whiteboard 36x24,Office Supplies,29.99
Marker Set 12pcs,Office Supplies,7.49
Ethernet Cable 10m,Electronics,6.99
HDMI Cable 2m,Electronics,4.99
Laptop Stand Adjustable,Electronics,23.99
